measurement_id,source_id,study_id,block_id,site_id,species_id,taxon_name_entered,measurement,diversity_metric_type,diversity_metric,diversity_metric_unit,metric_is_effort_sensitive,sampling_effort,sampling_effort_unit,rescaled_sampling_effort,measurement_value_standard,measurement_unit_standard,denominator,formula_reported,uncertainty_type,uncertainty_lower,uncertainty_upper,zero_record_interpretation,extraction_page,verification_status
METSP000001,SRC000001,STU000001,,SITE000001,SP000001,东北刺猬 Erinaceus amurensis,relative_abundance_index,,,,yes,30993,camera_days,,0.10,independent_records_per_100_camera_days,30993 camera-days,RAI = independent valid photos / all camera-days * 100,,,,,PDF p.4-7; Table 2,candidate
METSP000015,SRC000001,STU000001,,SITE000001,SP000015,赤腹松鼠 Callosciurus erythraeus,relative_abundance_index,,,,yes,30993,camera_days,,0.11,independent_records_per_100_camera_days,30993 camera-days,RAI = independent valid photos / all camera-days * 100,,,,,PDF p.4-7; Table 2,candidate
METSP000016,SRC000001,STU000001,,SITE000001,SP000016,珀氏长吻松鼠 Dremomys pernyi,relative_abundance_index,,,,yes,30993,camera_days,,0.02,independent_records_per_100_camera_days,30993 camera-days,RAI = independent valid photos / all camera-days * 100,,,,,PDF p.4-7; Table 2,candidate
METSP000017,SRC000001,STU000001,,SITE000001,SP000017,马来豪猪 Hystrix brachyura,relative_abundance_index,,,,yes,30993,camera_days,,0.01,independent_records_per_100_camera_days,30993 camera-days,RAI = independent valid photos / all camera-days * 100,,,,,PDF p.4-7; Table 2,candidate
METSP000018,SRC000001,STU000001,,SITE000001,SP000018,华南兔 Lepus sinensis,relative_abundance_index,,,,yes,30993,camera_days,,2.23,independent_records_per_100_camera_days,30993 camera-days,RAI = independent valid photos / all camera-days * 100,,,,,PDF p.4-7; Table 2,candidate
METSP000019,SRC000001,STU000001,,SITE000001,SP000019,灰胸竹鸡 Bambusicola thoracicus,relative_abundance_index,,,,yes,30993,camera_days,,0.06,independent_records_per_100_camera_days,30993 camera-days,RAI = independent valid photos / all camera-days * 100,,,,,PDF p.4-7; Table 2,candidate
METSP000020,SRC000001,STU000001,,SITE000001,SP000020,勺鸡 Pucrasia macrolopha,relative_abundance_index,,,,yes,30993,camera_days,,0.82,independent_records_per_100_camera_days,30993 camera-days,RAI = independent valid photos / all camera-days * 100,,,,,PDF p.4-7; Table 2,candidate
METSP000021,SRC000001,STU000001,,SITE000001,SP000021,白鹇 Lophura nycthemera,relative_abundance_index,,,,yes,30993,camera_days,,5.71,independent_records_per_100_camera_days,30993 camera-days,RAI = independent valid photos / all camera-days * 100,,,,,PDF p.4-7; Table 2,candidate
METSP000022,SRC000001,STU000001,,SITE000001,SP000022,白颈长尾雉 Syrmaticus ellioti,relative_abundance_index,,,,yes,30993,camera_days,,0.33,independent_records_per_100_camera_days,30993 camera-days,RAI = independent valid photos / all camera-days * 100,,,,,PDF p.4-7; Table 2,candidate
METSP000023,SRC000001,STU000001,,SITE000001,SP000023,山斑鸠 Streptopelia orientalis,relative_abundance_index,,,,yes,30993,camera_days,,0.10,independent_records_per_100_camera_days,30993 camera-days,RAI = independent valid photos / all camera-days * 100,,,,,PDF p.4-7; Table 2,candidate
METSP000024,SRC000001,STU000001,,SITE000001,SP000024,珠颈斑鸠 Streptopelia chinensis,relative_abundance_index,,,,yes,30993,camera_days,,0.003,independent_records_per_100_camera_days,30993 camera-days,RAI = independent valid photos / all camera-days * 100,,,,,PDF p.4-7; Table 2,candidate
METSP000025,SRC000001,STU000001,,SITE000001,SP000025,红翅凤头鹃 Clamator coromandus,relative_abundance_index,,,,yes,30993,camera_days,,0.003,independent_records_per_100_camera_days,30993 camera-days,RAI = independent valid photos / all camera-days * 100,,,,,PDF p.4-7; Table 2,candidate
METSP000026,SRC000001,STU000001,,SITE000001,SP000026,四声杜鹃 Cuculus micropterus,relative_abundance_index,,,,yes,30993,camera_days,,0.003,independent_records_per_100_camera_days,30993 camera-days,RAI = independent valid photos / all camera-days * 100,,,,,PDF p.4-7; Table 2,candidate
METSP000027,SRC000001,STU000001,,SITE000001,SP000027,丘鹬 Scolopax rusticola,relative_abundance_index,,,,yes,30993,camera_days,,0.01,independent_records_per_100_camera_days,30993 camera-days,RAI = independent valid photos / all camera-days * 100,,,,,PDF p.4-7; Table 2,candidate
METSP000028,SRC000001,STU000001,,SITE000001,SP000028,蛇雕 Spilornis cheela,relative_abundance_index,,,,yes,30993,camera_days,,0.003,independent_records_per_100_camera_days,30993 camera-days,RAI = independent valid photos / all camera-days * 100,,,,,PDF p.4-7; Table 2,candidate
METSP000029,SRC000001,STU000001,,SITE000001,SP000029,凤头鹰 Accipiter trivirgatus,relative_abundance_index,,,,yes,30993,camera_days,,0.003,independent_records_per_100_camera_days,30993 camera-days,RAI = independent valid photos / all camera-days * 100,,,,,PDF p.4-7; Table 2,candidate
METSP000030,SRC000001,STU000001,,SITE000001,SP000030,苍鹰 Accipiter gentilis,relative_abundance_index,,,,yes,30993,camera_days,,0.003,independent_records_per_100_camera_days,30993 camera-days,RAI = independent valid photos / all camera-days * 100,,,,,PDF p.4-7; Table 2,candidate
METSP000031,SRC000001,STU000001,,SITE000001,SP000031,斑头鸺鹠 Glaucidium cuculoides,relative_abundance_index,,,,yes,30993,camera_days,,0.003,independent_records_per_100_camera_days,30993 camera-days,RAI = independent valid photos / all camera-days * 100,,,,,PDF p.4-7; Table 2,candidate
METSP000032,SRC000001,STU000001,,SITE000001,SP000032,灰头绿啄木鸟 Picus canus,relative_abundance_index,,,,yes,30993,camera_days,,0.07,independent_records_per_100_camera_days,30993 camera-days,RAI = independent valid photos / all camera-days * 100,,,,,PDF p.4-7; Table 2,candidate
METSP000033,SRC000001,STU000001,,SITE000001,SP000033,松鸦 Garrulus glandarius,relative_abundance_index,,,,yes,30993,camera_days,,0.17,independent_records_per_100_camera_days,30993 camera-days,RAI = independent valid photos / all camera-days * 100,,,,,PDF p.4-7; Table 2,candidate
METSP000034,SRC000001,STU000001,,SITE000001,SP000034,红嘴蓝鹊 Urocissa erythrorhyncha,relative_abundance_index,,,,yes,30993,camera_days,,0.20,independent_records_per_100_camera_days,30993 camera-days,RAI = independent valid photos / all camera-days * 100,,,,,PDF p.4-7; Table 2,candidate
METSP000035,SRC000001,STU000001,,SITE000001,SP000035,灰树鹊 Dendrocitta formosae,relative_abundance_index,,,,yes,30993,camera_days,,0.05,independent_records_per_100_camera_days,30993 camera-days,RAI = independent valid photos / all camera-days * 100,,,,,PDF p.4-7; Table 2,candidate
METSP000036,SRC000001,STU000001,,SITE000001,SP000036,大山雀 Parus cinereus,relative_abundance_index,,,,yes,30993,camera_days,,0.003,independent_records_per_100_camera_days,30993 camera-days,RAI = independent valid photos / all camera-days * 100,,,,,PDF p.4-7; Table 2,candidate
METSP000037,SRC000001,STU000001,,SITE000001,SP000037,发冠卷尾 Dicrurus hottentottus,relative_abundance_index,,,,yes,30993,camera_days,,0.003,independent_records_per_100_camera_days,30993 camera-days,RAI = independent valid photos / all camera-days * 100,,,,,PDF p.4-7; Table 2,candidate
METSP000038,SRC000001,STU000001,,SITE000001,SP000038,绿翅短脚鹎 Ixos mcclellandii,relative_abundance_index,,,,yes,30993,camera_days,,0.003,independent_records_per_100_camera_days,30993 camera-days,RAI = independent valid photos / all camera-days * 100,,,,,PDF p.4-7; Table 2,candidate
METSP000039,SRC000001,STU000001,,SITE000001,SP000039,画眉 Garrulax canorus,relative_abundance_index,,,,yes,30993,camera_days,,0.04,independent_records_per_100_camera_days,30993 camera-days,RAI = independent valid photos / all camera-days * 100,,,,,PDF p.4-7; Table 2,candidate
METSP000040,SRC000001,STU000001,,SITE000001,SP000040,黑领噪鹛 Garrulax pectoralis,relative_abundance_index,,,,yes,30993,camera_days,,0.27,independent_records_per_100_camera_days,30993 camera-days,RAI = independent valid photos / all camera-days * 100,,,,,PDF p.4-7; Table 2,candidate
METSP000041,SRC000001,STU000001,,SITE000001,SP000041,小黑领噪鹛 Garrulax monileger,relative_abundance_index,,,,yes,30993,camera_days,,0.01,independent_records_per_100_camera_days,30993 camera-days,RAI = independent valid photos / all camera-days * 100,,,,,PDF p.4-7; Table 2,candidate
METSP000042,SRC000001,STU000001,,SITE000001,SP000042,棕噪鹛 Garrulax berthemyi,relative_abundance_index,,,,yes,30993,camera_days,,0.54,independent_records_per_100_camera_days,30993 camera-days,RAI = independent valid photos / all camera-days * 100,,,,,PDF p.4-7; Table 2,candidate
METSP000043,SRC000001,STU000001,,SITE000001,SP000043,红嘴相思鸟 Leiothrix lutea,relative_abundance_index,,,,yes,30993,camera_days,,0.02,independent_records_per_100_camera_days,30993 camera-days,RAI = independent valid photos / all camera-days * 100,,,,,PDF p.4-7; Table 2,candidate
METSP000044,SRC000001,STU000001,,SITE000001,SP000044,橙头地鸫 Geokichla citina,relative_abundance_index,,,,yes,30993,camera_days,,0.01,independent_records_per_100_camera_days,30993 camera-days,RAI = independent valid photos / all camera-days * 100,,,,,PDF p.4-7; Table 2,candidate
METSP000045,SRC000001,STU000001,,SITE000001,SP000045,虎斑地鸫 Zoothera aurea,relative_abundance_index,,,,yes,30993,camera_days,,0.08,independent_records_per_100_camera_days,30993 camera-days,RAI = independent valid photos / all camera-days * 100,,,,,PDF p.4-7; Table 2,candidate
METSP000046,SRC000001,STU000001,,SITE000001,SP000046,乌鸫 Turdus mandarinus,relative_abundance_index,,,,yes,30993,camera_days,,0.003,independent_records_per_100_camera_days,30993 camera-days,RAI = independent valid photos / all camera-days * 100,,,,,PDF p.4-7; Table 2,candidate
METSP000047,SRC000001,STU000001,,SITE000001,SP000047,白腹鸫 Turdus pallidus,relative_abundance_index,,,,yes,30993,camera_days,,0.003,independent_records_per_100_camera_days,30993 camera-days,RAI = independent valid photos / all camera-days * 100,,,,,PDF p.4-7; Table 2,candidate
METSP000048,SRC000001,STU000001,,SITE000001,SP000048,斑鸫 Turdus eunomus,relative_abundance_index,,,,yes,30993,camera_days,,0.01,independent_records_per_100_camera_days,30993 camera-days,RAI = independent valid photos / all camera-days * 100,,,,,PDF p.4-7; Table 2,candidate
METSP000049,SRC000001,STU000001,,SITE000001,SP000049,红尾鸫 Turdus naumanni,relative_abundance_index,,,,yes,30993,camera_days,,0.02,independent_records_per_100_camera_days,30993 camera-days,RAI = independent valid photos / all camera-days * 100,,,,,PDF p.4-7; Table 2,candidate
METSP000050,SRC000001,STU000001,,SITE000001,SP000050,紫啸鸫 Myophonus caeruleus,relative_abundance_index,,,,yes,30993,camera_days,,0.37,independent_records_per_100_camera_days,30993 camera-days,RAI = independent valid photos / all camera-days * 100,,,,,PDF p.4-7; Table 2,candidate
METSP000051,SRC000001,STU000001,,SITE000001,SP000051,山麻雀 Passer cinnamomeus,relative_abundance_index,,,,yes,30993,camera_days,,0.003,independent_records_per_100_camera_days,30993 camera-days,RAI = independent valid photos / all camera-days * 100,,,,,PDF p.4-7; Table 2,candidate
METSP000052,SRC000001,STU000001,,SITE000001,SP000052,燕雀 Fringilla montifringilla,relative_abundance_index,,,,yes,30993,camera_days,,0.03,independent_records_per_100_camera_days,30993 camera-days,RAI = independent valid photos / all camera-days * 100,,,,,PDF p.4-7; Table 2,candidate
METSP000053,SRC000001,STU000001,,SITE000001,SP000053,三道眉草鹀 Emberiza cioides,relative_abundance_index,,,,yes,30993,camera_days,,0.01,independent_records_per_100_camera_days,30993 camera-days,RAI = independent valid photos / all camera-days * 100,,,,,PDF p.4-7; Table 2,candidate
METSP000054,SRC000001,STU000001,,SITE000001,SP000054,黄眉鹀 Emberiza chrysophrys,relative_abundance_index,,,,yes,30993,camera_days,,0.003,independent_records_per_100_camera_days,30993 camera-days,RAI = independent valid photos / all camera-days * 100,,,,,PDF p.4-7; Table 2,candidate
